,transcript_id,transcript_position,score
8,tx_id_0,0,0.035365456326577956
10,tx_id_0,10,0.6772094519967699
11,tx_id_0,20,0.8020917830428526
19,tx_id_0,30,0.6953492885471647
3,tx_id_0,40,0.3137259700254097
9,tx_id_0,50,0.009681510586593242
5,tx_id_0,60,0.011038701860538291
12,tx_id_0,70,0.0002905902017073791
31,tx_id_0,80,0.001307369364015195
6,tx_id_0,90,0.04456692442155628
24,tx_id_0,100,0.002558942308426003
13,tx_id_0,110,0.0013966803936051786
16,tx_id_0,120,0.10979475507192805
0,tx_id_0,130,0.006878445706516086
1,tx_id_0,140,0.5269119944611504
22,tx_id_0,150,0.03918302921245058
4,tx_id_0,160,0.038755827997552346
20,tx_id_0,170,0.009912622927130108
15,tx_id_0,180,0.8852372095584807
25,tx_id_0,190,0.001850018216578025
18,tx_id_0,200,0.11910579418283498
7,tx_id_0,210,0.8648607401583509
26,tx_id_0,220,0.014677313224330999
21,tx_id_0,230,0.003845860935708394
17,tx_id_0,240,0.07603951067823565
28,tx_id_0,250,0.5305316661974312
2,tx_id_0,260,0.4349973496351004
32,tx_id_0,270,0.005002531381160738
14,tx_id_0,280,0.06472368382748916
23,tx_id_0,290,0.015276570334985418
35,tx_id_0,300,0.5638579256039373
30,tx_id_0,310,0.7336642011886584
29,tx_id_0,320,0.08343149971524505
27,tx_id_0,330,0.5142198639772165
43,tx_id_0,340,0.0025714751309013884
50,tx_id_0,350,0.3871030974509466
41,tx_id_0,360,0.7748708548727561
37,tx_id_0,370,0.11831469393669751
54,tx_id_0,380,0.14389137763019882
34,tx_id_0,390,0.6668716321697147
52,tx_id_0,400,0.00032392406687628864
38,tx_id_0,410,0.0007916905040863082
48,tx_id_0,420,0.006364977039750753
53,tx_id_0,430,0.0610984972443605
33,tx_id_0,440,0.8525196702123642
40,tx_id_0,450,0.8195810579572566
56,tx_id_0,460,0.11880438559014632
49,tx_id_0,470,0.009123975128734111
46,tx_id_0,480,0.03547138505250668
44,tx_id_0,490,0.025627984586661805
84,tx_id_0,500,0.8387282925735904
55,tx_id_0,510,0.6497795674819867
39,tx_id_0,520,0.008747663341829649
51,tx_id_0,530,0.036922154786740796
76,tx_id_0,540,0.005432161286527252
36,tx_id_0,550,0.016948370173624473
59,tx_id_0,560,0.012423039482337464
79,tx_id_0,570,0.0014021894717738492
47,tx_id_0,580,0.11993721157294154
45,tx_id_0,590,0.0017822600821026267
65,tx_id_0,600,0.0011260676000643757
42,tx_id_0,610,0.06258603943862913
61,tx_id_0,620,0.0650533851992674
64,tx_id_0,630,0.3654706649756541
63,tx_id_0,640,0.11646611073859556
70,tx_id_0,650,0.07849861220353131
66,tx_id_0,660,0.03960337643975688
72,tx_id_0,670,0.26168641257198516
58,tx_id_0,680,0.229250872254751
69,tx_id_0,690,0.9550610456742321
68,tx_id_0,700,0.014158954555906014
96,tx_id_0,710,0.1281012913747201
62,tx_id_0,720,0.02603395464351391
60,tx_id_0,730,0.0015760565407214207
73,tx_id_0,740,0.01384176209534572
81,tx_id_0,750,0.034029369249870864
80,tx_id_0,760,0.05801240161450622
67,tx_id_0,770,0.17942428936007485
74,tx_id_0,780,0.1237921318770973
86,tx_id_0,790,0.7776700554466383
71,tx_id_0,800,0.2791653773862998
75,tx_id_0,810,0.3516628499807269
57,tx_id_0,820,0.06586323511128976
78,tx_id_0,830,0.004392638753711158
82,tx_id_0,840,0.003287573526073178
92,tx_id_0,850,0.41980926966320753
85,tx_id_0,860,0.04591063206362994
87,tx_id_0,870,0.6762717302394797
89,tx_id_0,880,0.2973132131895412
93,tx_id_0,890,0.3722561384281358
83,tx_id_0,900,0.005885028211136264
77,tx_id_0,910,0.0016322564644869592
114,tx_id_0,920,0.08439362209837885
97,tx_id_0,930,0.017451907111037886
113,tx_id_0,940,0.025958930830483975
106,tx_id_0,950,0.0007956530892231314
90,tx_id_0,960,0.4818054495501387
91,tx_id_0,970,0.10502716716874143
88,tx_id_0,980,0.027324137009825313
94,tx_id_0,990,0.3924390256668414
112,tx_id_0,1000,0.49881474694324585
95,tx_id_0,1010,0.2969815730265184
100,tx_id_0,1020,0.12642826842719784
130,tx_id_0,1030,0.06327183234394161
103,tx_id_0,1040,0.6385870289515649
121,tx_id_0,1050,0.0037820288579749903
99,tx_id_0,1060,0.4331135295702496
101,tx_id_0,1070,0.09047765292094152
110,tx_id_0,1080,0.09324840864408357
131,tx_id_0,1090,0.6092859676002387
102,tx_id_0,1100,0.0047117791636457846
109,tx_id_0,1110,0.5946038229694764
115,tx_id_0,1120,0.030440265827204185
124,tx_id_0,1130,0.08865236297904289
128,tx_id_0,1140,0.22565546325393385
117,tx_id_0,1150,0.021238750338362745
98,tx_id_0,1160,0.2635381192193472
108,tx_id_0,1170,0.12313627041145993
105,tx_id_0,1180,0.01546885828458062
119,tx_id_0,1190,0.645800876655518
118,tx_id_0,1200,0.003970979623020337
125,tx_id_0,1210,0.230159437390642
129,tx_id_0,1220,0.11696646243275163
107,tx_id_0,1230,0.1497778531763983
122,tx_id_0,1240,0.0008351341506908141
123,tx_id_0,1250,0.017328049813049008
120,tx_id_0,1260,0.0016151238015986444
104,tx_id_0,1270,0.4431123201758552
127,tx_id_0,1280,0.294660300162901
139,tx_id_0,1290,0.03780123738074263
126,tx_id_0,1300,0.003064371319112665
111,tx_id_0,1310,0.42780180753248065
133,tx_id_0,1320,0.0015619115734112948
137,tx_id_0,1330,0.07391402951787346
150,tx_id_0,1340,0.39259118331840276
134,tx_id_0,1350,0.41776933356443163
153,tx_id_0,1360,0.03308935262927822
158,tx_id_0,1370,0.005284191808724127
162,tx_id_0,1380,0.6868652795306104
149,tx_id_0,1390,0.4573540952954357
116,tx_id_0,1400,0.42177642988267
143,tx_id_0,1410,0.01962734266946782
132,tx_id_0,1420,0.06316932259415374
152,tx_id_0,1430,0.0033522887079034227
146,tx_id_0,1440,0.2552268696783862
144,tx_id_0,1450,0.0016569621681024036
166,tx_id_0,1460,0.3285928423955062
141,tx_id_0,1470,0.017020415590604025
145,tx_id_0,1480,0.028797462293310705
159,tx_id_0,1490,0.02781145849390064
136,tx_id_0,1500,0.035862965111119825
157,tx_id_0,1510,0.0016966524728851227
138,tx_id_0,1520,0.6799266889292723
169,tx_id_0,1530,0.2609137067664833
147,tx_id_0,1540,0.05811698894332053
140,tx_id_0,1550,0.5712752674470654
142,tx_id_0,1560,0.008205051475657237
148,tx_id_0,1570,0.0006657992652030474
178,tx_id_0,1580,0.1789517507511856
135,tx_id_0,1590,0.8830371460898915
155,tx_id_0,1600,0.014481833772247798
154,tx_id_0,1610,0.7279074671174492
168,tx_id_0,1620,0.7271662850671886
156,tx_id_0,1630,0.0277257046840814
160,tx_id_0,1640,0.27855606435925123
151,tx_id_0,1650,0.11514997734113348
209,tx_id_0,1660,0.0438023662213108
